date,username,tweet,language,hashtags,cashtags,nlikes,nreplies,nretweets
2022-04-24 05:21:51,CbitArmy,***ZOMBIES PART 6- GLASSES*** 6 zombies with a Glasses tag 3 different tags Here they are:  1- Sun  #1281 2- Nice  #8969 3- Cyclops  #7209  #CbitArmy #CardanoNFTs #CardanoCommunity #CNFT #CNFTCommunity #NFTs #NFT #NFTCommunity  https://t.co/k7Izc7GegE,en,"['cbitarmy', 'cardanonfts', 'cardanocommunity', 'cnft', 'cnftcommunity', 'nfts', 'nft', 'nftcommunity']",[],9,2,0
2022-04-24 05:21:41,Nft_Reese,Gas ⛽️ Fees SUPER LOW #Nft #nft #Nfts Let’s Go @CoolBoysNFT,en,"['nft', 'nft', 'nfts']",[],3,1,0
2022-04-24 05:21:39,ibrahim_klc11," https://t.co/WUmFEyLeyp #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph  Seagulls caught in my frame, flying in a certain symmetry and performing an aerobatic show.  0.07 ETH  https://t.co/l9qEG3mhWe",en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],4,1,0
2022-04-24 05:21:33,CryptoonNetwork,"Moon Bears NFT have landed on @opensea !! The floor price is rising people, get in early 💎🚀🌕   https://t.co/mIMzMColrn  #MoonBearsNFT #CryptoonNetwork #NFT #NFTDrop #NFTShill #OpenSea #NFTCommunity #nftart #nftartist #nfts #WeBurnShib $Shib #NFTProject #nftopensea  https://t.co/kXZDidZ2hl",en,"['moonbearsnft', 'cryptoonnetwork', 'nft', 'nftdrop', 'nftshill', 'opensea', 'nftcommunity', 'nftart', 'nftartist', 'nfts', 'weburnshib', 'nftproject', 'nftopensea']",['shib'],19,2,9
2022-04-24 05:21:31,Crypto_Me_Ow,NEW NFT! Dog &amp; Bone 0.012 #ETH  link:  https://t.co/9TlMl1QvEN  #NFT #pixelart #NFTGiveaway #NFTCommunity #NFTs #crypto #cryptocurrecy #Ethereum #opensea #OpenSeaCommunity #NFTartist #NFTdrop #nftart  https://t.co/33hqQLUmTb,en,"['eth', 'nft', 'pixelart', 'nftgiveaway', 'nftcommunity', 'nfts', 'crypto', 'cryptocurrecy', 'ethereum', 'opensea', 'openseacommunity', 'nftartist', 'nftdrop', 'nftart']",[],8,3,0
2022-04-24 05:21:25,1stAlmshaheer,Participate in fightoftheages #NFT Giveaways Competition by @Dct_Capital  https://t.co/V8SAYXxapi #DCT #DCTCapital #NFTs #FOTA #P2E,en,"['nft', 'dct', 'dctcapital', 'nfts', 'fota', 'p2e']",[],4,0,0
2022-04-24 05:21:25,Daruma_NFT,A piece from the Daruma #NFT collection by Japanese #NFTartist @Daruma_NFT 0.18 $ETH  https://t.co/7q6Clyk4TD #NFTs #NFTcommunity #NFTcollector #NFTart #opensea #NFTjapan  #pixelart  https://t.co/lWTDPyRCnt,en,"['nft', 'nftartist', 'nfts', 'nftcommunity', 'nftcollector', 'nftart', 'opensea', 'nftjapan', 'pixelart']",['eth'],10,0,0
2022-04-24 05:21:21,AfurakanGallery,🚨Check this out 💯🔥💯  @Angryfrogsnft  isn't just another #NFT project! It is the first Work to Earn (W2E)   by @NFTMillionaire Every NFT holder will receive a free land on the AFF #Metaverse  🚨#Mintingnow 🚨  #NFTgaming #NFTs #MetaverseNFT  #Web3 @EnEfTeeKyle1  🔥⬇️👁️🔥👁️⬇️🔥  https://t.co/L1PlitazHg,en,"['nft', 'metaverse', 'mintingnow', 'nftgaming', 'nfts', 'metaversenft', 'web3']",[],17,7,6
2022-04-24 05:21:17,ibrahim_klc11, https://t.co/GNtwHnJ5sY #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph   SECOND SPRİNG   0.07 ETH  https://t.co/nLKJoq6OaK,en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],6,0,0
2022-04-24 05:21:14,3ina18, https://t.co/RDdNPOPW9d  #NFT  #NFTMint  #NFTProject #queen #NFTSold #NFTCommuntiy #NFTs #nftcollector #collage,und,"['nft', 'nftmint', 'nftproject', 'queen', 'nftsold', 'nftcommuntiy', 'nfts', 'nftcollector', 'collage']",[],10,0,0
